atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Locustella_luscinioides,0.0159100416892669,0.013243426031071419,0.02915346772033832,0.15995274914826577,0.18910621686860407,0.189106216868604,8.326672684688674e-17
1970s,1,Locustella_naevia,0.010826414368923776,0.01491381706808274,0.025740231437006517,0.1693257905992215,0.19506602203622803,0.195066022036228,2.7755575615628914e-17
1970s,1,Lophophanes_cristatus,0.004733232995245331,0.02432330609197861,0.029056539087223943,0.41501835717336644,0.4440748962605904,0.44407489626059,3.885780586188048e-16
1970s,1,Loxia_curvirostra,0.017831554016117104,0.052812273737032976,0.07064382775315008,0.15599252788945195,0.22663635564260204,0.226636355642602,2.7755575615628914e-17
1970s,1,Lullula_arborea,0.029289166390144426,0.059796007670020794,0.08908517406016522,0.07287512701798392,0.16196030107814913,0.161960301078149,1.3877787807814457e-16
1970s,1,Luscinia_luscinia,0.08591941931156627,0.04303302444139918,0.12895244375296544,0.3661803943335843,0.49513283808654973,0.49513283808655,2.7755575615628914e-16
1970s,1,Motacilla_alba,0.005153392162466096,0.012265743727252467,0.017419135889718565,0.18208009924336543,0.19949923513308399,0.199499235133084,2.7755575615628914e-17
1970s,1,Motacilla_cinerea,0.018049481673691414,0.027734424020045518,0.04578390569373693,0.24106976208706393,0.28685366778080085,0.286853667780801,1.6653345369377348e-16
1970s,1,Motacilla_flava,0.05851661583899865,0.03615949461660741,0.09467611045560606,0.25962021966753984,0.3542963301231459,0.354296330123146,1.1102230246251565e-16
1970s,1,Muscicapa_striata,0.002891865168788095,0.025179626400400227,0.028071491569188322,0.23973293128784914,0.2678044228570375,0.267804422857038,4.996003610813204e-16
1970s,1,Oenanthe_oenanthe,0.027517193009846792,0.04499687108243815,0.07251406409228495,0.12448206733838989,0.19699613143067485,0.196996131430675,1.3877787807814457e-16
1970s,1,Oriolus_oriolus,0.022987279260631672,0.031007677061976758,0.05399495632260843,0.21705578777731976,0.2710507440999282,0.271050744099928,1.6653345369377348e-16
1970s,1,Panurus_biarmicus,0.04777273779290846,0.03664629415728605,0.08441903195019451,0.12089730987436426,0.20531634182455877,0.205316341824559,2.220446049250313e-16
1970s,1,Parus_major,0.007836592242776854,0.0479456801134464,0.05578227235622325,0.24072405662713034,0.2965063289833536,0.296506328983353,6.106226635438361e-16
1970s,1,Passer_domesticus,0.003699574502440946,0.04467188251891472,0.04837145702135567,0.16614129285882653,0.2145127498801822,0.214512749880182,1.942890293094024e-16
1970s,1,Passer_montanus,0.00440017299545694,0.03064978896983388,0.035049961965290824,0.19050741596758922,0.22555737793288005,0.22555737793288,5.551115123125783e-17
1970s,1,Periparus_ater,0.013351783879049606,0.09109963609552135,0.10445141997457096,0.29607677708179303,0.400528197056364,0.400528197056364,0
1970s,1,Phoenicurus_ochruros,0.005211692657301371,0.06771941756889995,0.072931110226201315,0.11827594973555962,0.19120705996176093,0.191207059961761,5.551115123125783e-17
1970s,1,Phoenicurus_phoenicurus,0.006497690858069947,0.03588057302025044,0.04237826387832039,0.3338242268542448,0.3762024907325652,0.376202490732565,1.6653345369377348e-16
1970s,1,Phylloscopus_collybita,0.005842765680669619,0.0423874767030374,0.04823024238370702,0.3269784789831034,0.3752087213668104,0.375208721366811,6.106226635438361e-16
1970s,1,Phylloscopus_sibilatrix,0.01464563035083077,0.06553078776907362,0.08017641811990439,0.2995961448686217,0.3797725629885261,0.379772562988526,5.551115123125783e-17
1970s,1,Phylloscopus_trochilus,0.006877435727324294,0.026015329892435442,0.032892765619759734,0.24955474014820228,0.282447505767962,0.282447505767962,0
1970s,1,Pica_pica,0.0019017489238118968,0.04903125605612801,0.050933004979939904,0.2749784262243831,0.32591143120432303,0.325911431204323,5.551115123125783e-17
1970s,1,Poecile_palustris,0.006293881164577179,0.03958696950815573,0.04588085067273291,0.3586222108985906,0.4045030615713235,0.404503061571323,4.996003610813204e-16
1970s,1,Prunella_modularis,0.005676224136556961,0.02385111412882446,0.029527338265381422,0.30295555036636507,0.33248288863174646,0.332482888631746,4.440892098500626e-16
1970s,1,Pyrrhula_pyrrhula,0.024547579516169427,0.06476348334938743,0.08931106286555686,0.33274618802636385,0.4220572508919207,0.422057250891921,2.7755575615628914e-16
1970s,1,Regulus_ignicapilla,0.022985218393972596,0.03692800605624186,0.05991322445021445,0.16737098680546852,0.227284211255683,0.227284211255683,0
1970s,1,Regulus_regulus,0.007486863408592563,0.047228725731070544,0.05471558913966311,0.32323412257654105,0.3779497117162042,0.377949711716204,1.6653345369377348e-16
1970s,1,Remiz_pendulinus,0.008394022507381266,0.009187901595871637,0.017581924103252905,0.06870874835273706,0.08629067245598997,0.0862906724559899,6.938893903907228e-17
1970s,1,Riparia_riparia,0.011022858130409947,0.016933082377139898,0.027955940507549844,0.07075260312432757,0.09870854363187742,0.0987085436318774,2.7755575615628914e-17
1970s,1,Saxicola_rubetra,0.0021642544340992574,0.021842232686962167,0.024006487121061425,0.24475126225022265,0.26875774937128405,0.268757749371284,5.551115123125783e-17
1970s,1,Serinus_serinus,0.004614482632181508,0.028852990135905348,0.033467472768086856,0.018184592078870295,0.051652064846957155,0.0516520648469571,5.551115123125783e-17
